title,rating,director
Captain Fantastic,6,Matt Ross
Embrace of the Serpent,7,Ciro Guerra
Persona,8,Ingmar Bergman
Hannah and Her Sisters,8,Woody Allen
The Testament of Dr. Mabuse,7,Fritz Lang
Possession,8,Andrzej Żuławski
Holy Motors,8,Leos Carax
Dreams,7,Akira Kurosawa
Far from Heaven,7,Todd Haynes
Inside Out,7,Pete Docter
Ugetsu,8,Kenji Mizoguchi
The Wild Bunch,8,Sam Peckinpah
M*A*S*H,7,Robert Altman
Solaris,8,Andrei Tarkovsky
Notes on Blindness,7,Pete Middleton
Notes on Blindness,7,James Spinney
